I play football every weekend.											--> OEG, OLB
The human body contains 206 bones.										--> OEB, OLG	
Light travels at almost 300,000 kilometres per second.					--> OEN, OLN
English	is spoken all over the world.									--> OEB, OLN
The windows have been cleaned.	 										--> OEG, OLN
Lunch was being	served.													--> OEB, OLN
The work will be finished soon.											--> OEB, OLN
They might have been invited to the party.								--> OEB, OLG
I do agree with you. 													--> OEG, OLG
I think you are absolutely right.										--> OEN, OLN
